,Filename,UtteranceName,Speaker,Text,Start,End,Length
9,CA-MB-LB,2_Parent_CA-MB-LB,Parent,"Les animaux mais là ce ne sera pas forcément des animaux, ça peut être n'importe quoi, ça peut être des objets, ça peut être n'importe quoi, okay ? Donc on va, je vais commencer moi à penser à un mot, puis tu me poses des questions. Quand t'auras trouvé ce mot-là, eh bien ce sera à toi de euh deviner le mot auquel tu penses. Okay ? Okay Maël ?",23.0,47.0,70
13,CA-MB-LB,3_Parent_CA-MB-LB,Parent,Tu peux enlever tes mains du t-shirt pour jouer tranquille ?,47.0,53.0,11
17,CA-MB-LB,4_Parent_CA-MB-LB,Parent,"Allez, c'est moi, c'est moi Maël, c'est moi qui commence. C'est moi qui commence.",53.0,66.0,14
21,CA-MB-LB,5_Parent_CA-MB-LB,Parent,"Allez. Vas-y, j'ai trouvé mon mot.",66.0,83.0,6
25,CA-MB-LB,6_Parent_CA-MB-LB,Parent,Non.,83.0,90.0,1
29,CA-MB-LB,7_Parent_CA-MB-LB,Parent,"Non, c'est pas des prénoms qu'on cherche, Maël. C'est des mots qui désignent des choses de la vie courante, ça peut être des objets, des animaux, et cetera. Okay, donc tu dois me poser des questions ...",90.0,114.0,37
33,CA-MB-LB,8_Parent_CA-MB-LB,Parent,Oui. Il y en a dans la maison.,114.0,122.0,8
37,CA-MB-LB,9_Parent_CA-MB-LB,Parent,. Non.,122.0,129.0,2
41,CA-MB-LB,10_Parent_CA-MB-LB,Parent,"Non, ce n'est pas un ordinateur.",129.0,137.0,6
45,CA-MB-LB,11_Parent_CA-MB-LB,Parent,Non.,137.0,139.0,1
49,CA-MB-LB,12_Parent_CA-MB-LB,Parent,C'est plutôt vers toi.,139.0,147.0,4
53,CA-MB-LB,13_Parent_CA-MB-LB,Parent,Non c'est pas derrière toi.,147.0,154.0,5
57,CA-MB-LB,14_Parent_CA-MB-LB,Parent,Non. C'est pas devant toi.,154.0,161.0,5
61,CA-MB-LB,15_Parent_CA-MB-LB,Parent,"Oui, à co, à côté de toi.",161.0,168.0,7
65,CA-MB-LB,16_Parent_CA-MB-LB,Parent,Oui il y en a à gauche.,168.0,176.0,7
69,CA-MB-LB,17_Parent_CA-MB-LB,Parent,"Non, excuse-moi hihi... c'est, c'est, c'est ma gauche, à toi donc c'est ta droite, ta droite.",176.0,186.0,16
73,CA-MB-LB,18_Parent_CA-MB-LB,Parent,C'est pas le meuble.,186.0,195.0,4
77,CA-MB-LB,19_Parent_CA-MB-LB,Parent,"Oui, c'est un jeu.",195.0,198.0,4
81,CA-MB-LB,20_Parent_CA-MB-LB,Parent,"C'était ça le mot, oui. C'était le mot jeu. Allez, à... toi.",198.0,205.0,12
85,CA-MB-LB,21_Parent_CA-MB-LB,Parent,C'était facile à trouver ?,205.0,215.0,5
89,CA-MB-LB,22_Parent_CA-MB-LB,Parent,"Allez, à toi de me faire deviner quelque chose.",215.0,218.0,9
93,CA-MB-LB,23_Parent_CA-MB-LB,Parent,"Okay. Est-ce que c'est quelque chose qui est vivant ? D'accord, c'est à moi donc. Est-ce que c'est quelque chose qui est vivant ?",218.0,231.0,24
97,CA-MB-LB,24_Parent_CA-MB-LB,Parent,"Alors, est-ce que c'est un objet ?",231.0,237.0,7
101,CA-MB-LB,25_Parent_CA-MB-LB,Parent,Est-ce que c'est un objet qui est dans la maison ?,237.0,242.0,11
105,CA-MB-LB,26_Parent_CA-MB-LB,Parent,"Est-ce que c'est un objet qui est autour de toi, dans le salon ?",242.0,251.0,14
109,CA-MB-LB,27_Parent_CA-MB-LB,Parent,Est-ce que c'est un objet qui est dans ta chambre ?,251.0,257.0,11
113,CA-MB-LB,28_Parent_CA-MB-LB,Parent,Est-ce que c'est un objet qui est dans ma chambre ?,257.0,267.0,11
117,CA-MB-LB,29_Parent_CA-MB-LB,Parent,Mm...Est-ce que je dors dessus ?,267.0,277.0,6
121,CA-MB-LB,30_Parent_CA-MB-LB,Parent,Mm...Est-ce que l'heure est affichée dessus ?,277.0,290.0,7
125,CA-MB-LB,31_Parent_CA-MB-LB,Parent,Est-ce que j'y range des vêtements ...,290.0,299.0,7
129,CA-MB-LB,32_Parent_CA-MB-LB,Parent,". Est-ce que tu, est-ce que j'y range mes vêtements ?",299.0,306.0,11
133,CA-MB-LB,33_Parent_CA-MB-LB,Parent,"Alors, arrête de bouger, arrête de bouger comme ça. Est-ce que c'est un endroit où je range les vêtements ?",306.0,322.0,20
137,CA-MB-LB,34_Parent_CA-MB-LB,Parent,Qu'est ce qu'il y a comme objets dans ma chambre ... auxquels tu peux penser comme ça. Une lumière ?,322.0,337.0,20
141,CA-MB-LB,35_Parent_CA-MB-LB,Parent,La lampe de chevet ?,337.0,340.0,5
145,CA-MB-LB,36_Parent_CA-MB-LB,Parent,Est-ce que tu peux me donner un indice ?,340.0,345.0,9
149,CA-MB-LB,37_Parent_CA-MB-LB,Parent,"Allez, donne-moi un indice.",345.0,355.0,4
153,CA-MB-LB,38_Parent_CA-MB-LB,Parent,C'est quelque chose que je peux bouger ? Ca veut dire que c'est quelque chose que je peux sortir de la chambre ?,355.0,361.0,23
157,CA-MB-LB,39_Parent_CA-MB-LB,Parent,C'est quelque chose que je cache dans ma chambre pour ne pas que tu le prennes ?,361.0,370.0,17
161,CA-MB-LB,40_Parent_CA-MB-LB,Parent,". Non mais je trouve pas hein, quelque chose qui se bouge, que je peux sortir.",370.0,379.0,16
165,CA-MB-LB,41_Parent_CA-MB-LB,Parent,C'est mon ordinateur ?,379.0,388.0,4
169,CA-MB-LB,42_Parent_CA-MB-LB,Parent,"Allez, je donne ma langue au chat.",388.0,394.0,7
173,CA-MB-LB,43_Parent_CA-MB-LB,Parent,"Ah, c'est m-malin. Bon allez, à moi. Tu as trouvé le premier.",394.0,411.0,12
177,CA-MB-LB,44_Parent_CA-MB-LB,Parent,"Allez, c'est à moi, ça y est, j'ai trouvé.",411.0,423.0,9
181,CA-MB-LB,45_Parent_CA-MB-LB,Parent,Non.,423.0,438.0,1
185,CA-MB-LB,46_Parent_CA-MB-LB,Parent,Qu'est-ce qui est rond ?,438.0,446.0,5
189,CA-MB-LB,47_Parent_CA-MB-LB,Parent,"Euh...non, c'est pas rond.",446.0,459.0,4
193,CA-MB-LB,48_Parent_CA-MB-LB,Parent,"Non, c'est pas dans ma chambre.",459.0,467.0,6
197,CA-MB-LB,49_Parent_CA-MB-LB,Parent,Mm.. non plus.,467.0,476.0,3
201,CA-MB-LB,50_Parent_CA-MB-LB,Parent,"Non, c'est pas sur toi.",476.0,487.0,5
205,CA-MB-LB,51_Parent_CA-MB-LB,Parent,Non. C'est pas dans cette pièce.,487.0,497.0,6
209,CA-MB-LB,52_Parent_CA-MB-LB,Parent,Pas dans le couloir mais tu chauffes.,497.0,507.0,7
213,CA-MB-LB,53_Parent_CA-MB-LB,Parent,Non. Tu chauffais plus dans le couloir.,507.0,517.0,7
217,CA-MB-LB,54_Parent_CA-MB-LB,Parent,Non plus.,517.0,521.0,2
221,CA-MB-LB,55_Parent_CA-MB-LB,Parent,Oui. Dans la salle de bain. Tu chauffes.,521.0,534.0,8
225,CA-MB-LB,56_Parent_CA-MB-LB,Parent,C'est pas derrière le miroir ..,534.0,543.0,6
229,CA-MB-LB,57_Parent_CA-MB-LB,Parent,"Non, c'est pas tes coquilles de noix.",543.0,549.0,7
233,CA-MB-LB,58_Parent_CA-MB-LB,Parent,Qu'est-ce qu'il y a dans une salle de bain ?,549.0,557.0,10
237,CA-MB-LB,59_Parent_CA-MB-LB,Parent,C'est pas loin. Tu chauffes.,557.0,569.0,5
241,CA-MB-LB,60_Parent_CA-MB-LB,Parent,"Huh, tu refroidis.",569.0,579.0,3
245,CA-MB-LB,61_Parent_CA-MB-LB,Parent,"Ah mais oui t'as raison. T'as raison mais ton enquête, elle refroidit. C'était plus proche de la, du lavabo.",579.0,599.0,19
249,CA-MB-LB,62_Parent_CA-MB-LB,Parent,"Alors qu'est-ce qu'il y a pas loin du, du lavabo ?",599.0,610.0,11
253,CA-MB-LB,63_Parent_CA-MB-LB,Parent,C'est pas les tiroirs. Qu'est-ce qu'on fait quand on est dans une salle de bains ?,610.0,615.0,16
257,CA-MB-LB,64_Parent_CA-MB-LB,Parent,"Oui...on se lave les mains, on se lave quoi d'autre ?",615.0,621.0,11
261,CA-MB-LB,65_Parent_CA-MB-LB,Parent,Oui. Qu'est-ce qu'on se lave d'autre que les mains ?,621.0,629.0,10
265,CA-MB-LB,66_Parent_CA-MB-LB,Parent,"Non, j'ai dit que c'était, non, tu m'as demandé si c'était le lavabo, je t'ai dit non.",629.0,636.0,17
269,CA-MB-LB,67_Parent_CA-MB-LB,Parent,Mais qu'est-ce qu'on se lave d'autre que les mains au lavabo?,636.0,644.0,11
273,CA-MB-LB,68_Parent_CA-MB-LB,Parent,Oui et quoi d'autre ?,644.0,648.0,5
277,CA-MB-LB,69_Parent_CA-MB-LB,Parent,"Au lavabo Maël, au lavabo !",648.0,659.0,6
281,CA-MB-LB,70_Parent_CA-MB-LB,Parent,Ah ben on voit que tu te les laves pas souvent hein.,659.0,669.0,12
285,CA-MB-LB,71_Parent_CA-MB-LB,Parent,Qu'est-ce que tu laves après manger ?,669.0,681.0,7
289,CA-MB-LB,72_Parent_CA-MB-LB,Parent,Ouais.,681.0,684.0,1
293,CA-MB-LB,73_Parent_CA-MB-LB,Parent,La bouche et ?,684.0,689.0,4
297,CA-MB-LB,74_Parent_CA-MB-LB,Parent,Et qu'est-ce qu'il y a dans la bouche ? Bravo !,689.0,701.0,11
301,CA-MB-LB,75_Parent_CA-MB-LB,Parent,C'est la brosse à dents. T'as trouvé.,701.0,707.0,7
305,CA-MB-LB,76_Parent_CA-MB-LB,Parent,Ben dans la salle de bains c'est tout. Mais toi tu peux m'en faire chercher un si tu veux ?,707.0,717.0,20
309,CA-MB-LB,77_Parent_CA-MB-LB,Parent,C'est bon ?,717.0,727.0,3
313,CA-MB-LB,78_Parent_CA-MB-LB,Parent,"Je t'écoute. Ah oui, c'est à moi de chercher.",727.0,730.0,9
317,CA-MB-LB,79_Parent_CA-MB-LB,Parent,"Alors, c'est dans la salle de bain ?",730.0,732.0,8
321,CA-MB-LB,80_Parent_CA-MB-LB,Parent,"Oui. Mm, c'est, c'est vers la baignoire ? On s'en sert dans la baignoire ?",732.0,747.0,15
325,CA-MB-LB,81_Parent_CA-MB-LB,Parent,"Ah oui. Alors, mm.. c'est une serviette ?",747.0,756.0,8
329,CA-MB-LB,82_Parent_CA-MB-LB,Parent,"Alors, un truc dont on se sert presque dans la baignoire ? C'est étrange. On a un pied dedans, un pied dehors ?",756.0,768.0,23
333,CA-MB-LB,83_Parent_CA-MB-LB,Parent,Est-ce qu'on s'en sert quand on est au lavabo ?,768.0,778.0,10
337,CA-MB-LB,84_Parent_CA-MB-LB,Parent,"Je vais encore donner ma langue au chat, attends un petit peu hein.",778.0,789.0,13
341,CA-MB-LB,85_Parent_CA-MB-LB,Parent,"Bon ben écoute, je te ... je te donne ma langue au chat, je donne ma langue au chat.",789.0,798.0,19
345,CA-MB-LB,86_Parent_CA-MB-LB,Parent,Oh oui.,798.0,800.0,2
349,CA-MB-LB,87_Parent_CA-MB-LB,Parent,"Oui c'est, c'est bizarre.",800.0,802.0,4
353,CA-MB-LB,88_Parent_CA-MB-LB,Parent,C'est quoi ?,802.0,807.0,3
357,CA-MB-LB,89_Parent_CA-MB-LB,Parent,Salle de bains. Okay.,807.0,809.0,4
361,CA-MB-LB,90_Parent_CA-MB-LB,Parent,"Et bien je vois que t'aime bien ça, c'est bon, Maël.",809.0,814.0,11
365,CA-MB-LB,91_Parent_CA-MB-LB,Parent,"Maël, tu m'écoutes ?",814.0,818.0,4
369,CA-MB-LB,92_Parent_CA-MB-LB,Parent,"Est-ce que euh... est-ce que tu peux me dire comment, comment tu as trouvé ce jeu ? Comment t'as trouvé ce jeu ?",818.0,832.0,23
373,CA-MB-LB,93_Parent_CA-MB-LB,Parent,T'aimes bien ?,832.0,839.0,3
377,CA-MB-LB,94_Parent_CA-MB-LB,Parent,"Est-ce que tu penses que tu pourrais y faire euh, que tu pourrais y jouer avec tes copains ?",839.0,849.0,19
381,CA-MB-LB,95_Parent_CA-MB-LB,Parent,"Vous, vous y jouez des fois à l'école ?",849.0,860.0,9
385,CA-MB-LB,96_Parent_CA-MB-LB,Parent,"Par contre, tu joues souvent à ça avec euh Manon ?",860.0,867.0,11
389,CA-MB-LB,97_Parent_CA-MB-LB,Parent,"Quand huh, quand t'es chez l'ostéo, t'aime bien chercher, lui faire chercher des mots de, d'objets qui sont dans la pièce ?",867.0,877.0,22
393,CA-MB-LB,98_Parent_CA-MB-LB,Parent,"Donc en fait t'as déjà l'habitude de jouer à ce jeu. Plus que moi en fait. Vrai ? Qu'est-ce que tu fais là ? C'est quoi que tu bouges comme ça ? Ça bouge très vite, du coup je ne vois pas ce que c'est à l'écran. C'est quoi ?",877.0,906.0,50
397,CA-MB-LB,99_Parent_CA-MB-LB,Parent,"Ah c'est ta petite balle huh .. panda là, c'est ça ? Okay. Qu'est-ce que tu voudrais faire d'autre comme jeu, là ?",906.0,925.0,23
401,CA-MB-LB,100_Parent_CA-MB-LB,Parent,Quoi ?,925.0,934.0,2
405,CA-MB-LB,101_Parent_CA-MB-LB,Parent,Tu veux qu'on joue au Moonbot ? Oui.,934.0,940.0,8
409,CA-MB-LB,102_Parent_CA-MB-LB,Parent,"Ak, okay, s tu veux on pourra, on pourra tenter les échecs. Donc, on va essayer.",940.0,949.0,16
413,CA-MB-LB,103_Parent_CA-MB-LB,Parent,"Ben dès qu'on aura fini notre partie-là, on, on pourra tester euh les échecs.",949.0,961.0,14
417,CA-MB-LB,104_Parent_CA-MB-LB,Parent,", non, c'est pas fini, , c'est pas fini. Mais bon, c'est pas, c'est pas une vraie puisque tu l'avais déjà en fait. Hein, ça y est, t'as faim ? C'est ça, c'est l'heure du goûter ?",961.0,969.0,37
421,CA-MB-LB,105_Parent_CA-MB-LB,Parent,"Oui, c'est vrai, t'as raison, c'est l'heure du goûter.",969.0,973.696,9
3,CA-MB-LB,106_Child_CA-MB-LB,Child,"Oui, je sais.",8.0,22.0,3
7,CA-MB-LB,107_Child_CA-MB-LB,Child,Oui.,22.0,46.0,1
11,CA-MB-LB,108_Child_CA-MB-LB,Child,"Umm, okay, okay.",46.0,109.0,3
15,CA-MB-LB,109_Child_CA-MB-LB,Child,"Alors, alors est-ce que ...",109.0,59.0,5
19,CA-MB-LB,110_Child_CA-MB-LB,Child,Okay.,59.0,75.0,1
23,CA-MB-LB,111_Child_CA-MB-LB,Child,Mmm...Leïla ... Est-ce que c'est Leïla ?,75.0,88.0,7
27,CA-MB-LB,112_Child_CA-MB-LB,Child,"Est-ce que c'est ...Mmm, Maël ?",88.0,104.0,6
31,CA-MB-LB,113_Child_CA-MB-LB,Child,Est-ce que euh  est-ce que c'est un mot qu'il y a dans la maison ?,104.0,118.0,15
35,CA-MB-LB,114_Child_CA-MB-LB,Child,Une télécommande ?,118.0,96.0,3
39,CA-MB-LB,115_Child_CA-MB-LB,Child,Un ordinateur ?,96.0,132.0,3
43,CA-MB-LB,116_Child_CA-MB-LB,Child,Est-ce que c'est dans ta chambre ?,132.0,138.0,7
47,CA-MB-LB,117_Child_CA-MB-LB,Child,Est-ce que c'est euh ...,138.0,142.0,5
51,CA-MB-LB,118_Child_CA-MB-LB,Child,"Mm, est-ce que c'est derrière moi ?",142.0,148.0,7
55,CA-MB-LB,119_Child_CA-MB-LB,Child,C'est devant moi ? Mm ?,148.0,158.0,6
59,CA-MB-LB,120_Child_CA-MB-LB,Child,C'est à côté de moi ?,158.0,164.0,6
63,CA-MB-LB,121_Child_CA-MB-LB,Child,C'est à gauche ?,164.0,171.0,4
67,CA-MB-LB,122_Child_CA-MB-LB,Child,Et est-ce que c'est le coussin ?,171.0,181.0,7
71,CA-MB-LB,123_Child_CA-MB-LB,Child,Mm.. Est-ce que c'est le meuble ?,181.0,189.0,7
75,CA-MB-LB,124_Child_CA-MB-LB,Child,"Mm, est-ce que c'est un jeu, là, le petit jeu ?",189.0,196.0,11
79,CA-MB-LB,125_Child_CA-MB-LB,Child,"Oui, c'est ça ?",196.0,204.0,4
83,CA-MB-LB,126_Child_CA-MB-LB,Child,Mm....,204.0,209.0,1
87,CA-MB-LB,127_Child_CA-MB-LB,Child,"Euh, ouais.. Enfin, un peu.. Mm.. J'ai trouvé !",209.0,217.0,9
91,CA-MB-LB,128_Child_CA-MB-LB,Child,J'ai trouvé.,217.0,227.0,2
95,CA-MB-LB,129_Child_CA-MB-LB,Child,Non.,227.0,235.0,1
99,CA-MB-LB,130_Child_CA-MB-LB,Child,Oui.,235.0,239.0,1
103,CA-MB-LB,131_Child_CA-MB-LB,Child,Oui.,239.0,248.0,1
107,CA-MB-LB,132_Child_CA-MB-LB,Child,Nan-an.,248.0,262.0,1
111,CA-MB-LB,133_Child_CA-MB-LB,Child,Nan.,262.0,260.0,1
115,CA-MB-LB,134_Child_CA-MB-LB,Child, oui.,260.0,272.0,1
119,CA-MB-LB,135_Child_CA-MB-LB,Child, Non.,272.0,285.0,1
123,CA-MB-LB,136_Child_CA-MB-LB,Child,Non.,285.0,291.0,1
127,CA-MB-LB,137_Child_CA-MB-LB,Child,"Tu me dis hein, quand tu donnes ta langue au chat. Quoi ? Est-ce que ce, c'est un bâtiment ? C'est ça ?",291.0,304.0,23
131,CA-MB-LB,138_Child_CA-MB-LB,Child,Je comprends rien.,304.0,319.0,3
135,CA-MB-LB,139_Child_CA-MB-LB,Child,Non.,319.0,334.0,1
139,CA-MB-LB,140_Child_CA-MB-LB,Child,Non.,334.0,339.0,1
143,CA-MB-LB,141_Child_CA-MB-LB,Child,Non.,339.0,342.0,1
147,CA-MB-LB,142_Child_CA-MB-LB,Child,Oui.,342.0,346.0,1
151,CA-MB-LB,143_Child_CA-MB-LB,Child,"C'est tout le temps dans ta chambre et ça, okay, euh ça se bouge.",346.0,356.0,14
155,CA-MB-LB,144_Child_CA-MB-LB,Child,Oui. Oui.,356.0,368.0,2
159,CA-MB-LB,145_Child_CA-MB-LB,Child,Non.,368.0,377.0,1
163,CA-MB-LB,146_Child_CA-MB-LB,Child,Tu me dis quand tu donnes ta langue au chat.,377.0,380.0,10
167,CA-MB-LB,147_Child_CA-MB-LB,Child,"Non. Tu me dis quand t'as, quand tu donnes ta langue au chat.",380.0,391.0,13
171,CA-MB-LB,148_Child_CA-MB-LB,Child,"Okay, tes lunettes !",391.0,403.0,4
175,CA-MB-LB,149_Child_CA-MB-LB,Child,". J'ai gagné euh, j'ai gagné.",403.0,413.0,6
179,CA-MB-LB,150_Child_CA-MB-LB,Child,"J'ai fermé la , je plaisante. Oui ? Mm... Est-ce que c'est un ani-mal ?",413.0,427.0,15
183,CA-MB-LB,151_Child_CA-MB-LB,Child,Est-ce que ... il est rond ?,427.0,440.0,7
187,CA-MB-LB,152_Child_CA-MB-LB,Child,"Non mais est-ce que cette chose-là, elle est ronde ?",440.0,452.0,10
191,CA-MB-LB,153_Child_CA-MB-LB,Child,Est-ce que ... est-ce que c'est dans ta chambre ?,452.0,462.0,10
195,CA-MB-LB,154_Child_CA-MB-LB,Child,Et est-ce que c'est dans ma chambre ?,462.0,470.0,8
199,CA-MB-LB,155_Child_CA-MB-LB,Child,"Est-ce que c'est sur moi, là ?",470.0,481.0,7
203,CA-MB-LB,156_Child_CA-MB-LB,Child,Est-ce que c'est euh vers moi ?,481.0,492.0,7
207,CA-MB-LB,157_Child_CA-MB-LB,Child,Et est-ce que c'est dans le cou-loir ?,492.0,502.0,8
211,CA-MB-LB,158_Child_CA-MB-LB,Child,"Ah, je sais. C'est dans l'entrée ?",502.0,513.0,7
215,CA-MB-LB,159_Child_CA-MB-LB,Child,C'est dans .... c'est dans... les toilettes ... c'est dans les chiottes ?,513.0,518.0,13
219,CA-MB-LB,160_Child_CA-MB-LB,Child,"C'est, c'est dans, c'est dans la salle de bain ?",518.0,526.0,10
223,CA-MB-LB,161_Child_CA-MB-LB,Child,"C'est dans le miroir, c'est dans le miroir ?",526.0,536.0,9
227,CA-MB-LB,162_Child_CA-MB-LB,Child,"Ah je sais, mes coquilles ... mes coquilles de noix ...c'est, ah c'est mes coquilles de noix ?",536.0,546.0,18
231,CA-MB-LB,163_Child_CA-MB-LB,Child,Mm....ce sont ...,546.0,552.0,3
235,CA-MB-LB,164_Child_CA-MB-LB,Child,"Je sais, c'est le lavabo !",552.0,563.0,6
239,CA-MB-LB,165_Child_CA-MB-LB,Child,Chauf-fage ?,563.0,572.0,2
243,CA-MB-LB,166_Child_CA-MB-LB,Child,"Pourtant un chauffage, ça chauffe. Pourquoi est-ce que je refroidis ?",572.0,589.0,11
247,CA-MB-LB,167_Child_CA-MB-LB,Child,"Ouais mais alors je vais aller... c'est pas grave, hein, je vais aller me réchauffer au chauffage moi. Huh est-ce que ...",589.0,601.0,22
251,CA-MB-LB,168_Child_CA-MB-LB,Child,"Ah oui c'est bon, je sais, c'est .... les tiroirs ?",601.0,613.0,11
255,CA-MB-LB,169_Child_CA-MB-LB,Child,On se lave les mains.,613.0,619.0,5
259,CA-MB-LB,170_Child_CA-MB-LB,Child,"Oh non, c'est. Et aussi on se douche.",619.0,623.0,8
263,CA-MB-LB,171_Child_CA-MB-LB,Child,"Et c'est la baignoire, baignoire, baignoire, baignoire.",623.0,633.0,7
267,CA-MB-LB,172_Child_CA-MB-LB,Child,"Ah, le savon.",633.0,640.0,3
271,CA-MB-LB,173_Child_CA-MB-LB,Child,"Huh, on se lave euh le visage ?",640.0,645.0,8
275,CA-MB-LB,174_Child_CA-MB-LB,Child,Les pieds ?,645.0,650.0,3
279,CA-MB-LB,175_Child_CA-MB-LB,Child,Ah.... Mm....,650.0,664.0,2
283,CA-MB-LB,176_Child_CA-MB-LB,Child,"Ben, le visage, euh, euh.",664.0,674.0,5
287,CA-MB-LB,177_Child_CA-MB-LB,Child,"Les mains. Et la, ah non, la bouche. Mm...",674.0,682.0,9
291,CA-MB-LB,178_Child_CA-MB-LB,Child,La bouche.,682.0,687.0,2
295,CA-MB-LB,179_Child_CA-MB-LB,Child,"Les dents, les dents, les dents, les dents, avec la brosse à dents ...",687.0,694.0,14
303,CA-MB-LB,180_Child_CA-MB-LB,Child,Mais on peut recommencer avec un objet dans la salle de bain ? Hein ?,701.0,710.0,15
307,CA-MB-LB,181_Child_CA-MB-LB,Child,"Okay. Du coup, c'est dans la salle de bain hein. Alors je vais faire...",710.0,718.0,14
311,CA-MB-LB,182_Child_CA-MB-LB,Child,Ah c'est bon j'ai trouvé.,718.0,729.0,5
315,CA-MB-LB,183_Child_CA-MB-LB,Child,Oui.,729.0,731.0,1
319,CA-MB-LB,184_Child_CA-MB-LB,Child,Ouais.,731.0,741.0,1
323,CA-MB-LB,185_Child_CA-MB-LB,Child,Oui. Non. Enfin ... presque.,741.0,752.0,5
327,CA-MB-LB,186_Child_CA-MB-LB,Child,Non.,752.0,764.0,1
331,CA-MB-LB,187_Child_CA-MB-LB,Child,Non. Non.,764.0,771.0,2
335,CA-MB-LB,188_Child_CA-MB-LB,Child,Non.,771.0,784.0,1
339,CA-MB-LB,189_Child_CA-MB-LB,Child,Pas si viteeeee.,784.0,795.0,3
343,CA-MB-LB,190_Child_CA-MB-LB,Child,Déjà ?,795.0,799.0,2
347,CA-MB-LB,191_Child_CA-MB-LB,Child,"Eh bien dis donc, t'es pas persévérante, toi",799.0,801.0,8
351,CA-MB-LB,192_Child_CA-MB-LB,Child,Le rideau.,801.0,803.0,2
355,CA-MB-LB,193_Child_CA-MB-LB,Child,Le rideau.,803.0,808.0,2
359,CA-MB-LB,194_Child_CA-MB-LB,Child, presque.,808.0,816.0,1
363,CA-MB-LB,195_Child_CA-MB-LB,Child,Quoi ?,816.0,816.0,2
367,CA-MB-LB,196_Child_CA-MB-LB,Child,Oui.,816.0,829.0,1
371,CA-MB-LB,197_Child_CA-MB-LB,Child,Bien. Comment est-ce que j'ai trouvé ?,829.0,834.0,7
375,CA-MB-LB,198_Child_CA-MB-LB,Child,"C'est ça ? Oui, j'aime bien.",834.0,846.0,6
379,CA-MB-LB,199_Child_CA-MB-LB,Child,Oui.,846.0,852.0,1
383,CA-MB-LB,200_Child_CA-MB-LB,Child,"Non mais je veux bien leur euh demander, mais je veux bien leur demander.",852.0,864.0,14
387,CA-MB-LB,201_Child_CA-MB-LB,Child,Ouais.,864.0,873.0,1
391,CA-MB-LB,202_Child_CA-MB-LB,Child,Ouais. J'aime bien.,873.0,903.0,3
395,CA-MB-LB,203_Child_CA-MB-LB,Child,C'est ça.,903.0,920.0,2
399,CA-MB-LB,204_Child_CA-MB-LB,Child,"Maman, je t'aime. Mm Moonbot.",920.0,926.0,5
403,CA-MB-LB,205_Child_CA-MB-LB,Child,Moonbot.,926.0,934.0,1
407,CA-MB-LB,206_Child_CA-MB-LB,Child,"Euh non ! Mais non, je veux dire les échecs euh. Les échecs des ordinateurs.",934.0,944.0,15
411,CA-MB-LB,207_Child_CA-MB-LB,Child,Quand ça ?,944.0,953.0,3
415,CA-MB-LB,208_Child_CA-MB-LB,Child, je peux prendre ma récompense ? Je peux prendre ma récompense ?,953.0,968.0,12
419,CA-MB-LB,209_Child_CA-MB-LB,Child,"Oui, je veux bien.",968.0,973.696,4
1,CA-LJ-MJ,0_Parent_CA-LJ-MJ,Parent,"On voit bien ton visage, ça va, c'est impeccable.",0.0,3.0,9
3,CA-LJ-MJ,1_Parent_CA-LJ-MJ,Parent,"Heu, donc. En fait, heu, cet enregistrement, va être fait pendant qu'on joue à un jeu, Léonie.",3.0,10.0,17
7,CA-LJ-MJ,2_Parent_CA-LJ-MJ,Parent,"Je vais t'expliquer ce jeu, et on va y jouer l'une après l'autre, ça va durer une dizaine de minutes et après heu, on va discuter un peu.",10.0,19.0,28
11,CA-LJ-MJ,3_Parent_CA-LJ-MJ,Parent,"Donc le jeu, c'est un jeu assez simple de devinette de mots, et heu, en fait, chacune notre tour, on va penser à un mot, et l'autre doit la questionner pour heu, pour savoir heu, quel mot c'est. Alors c'est pas, c'est, on on peut répondre par oui et non hein, c'est-à-dire et par d'autres choses, on est pas obligé de répondre plutôt par oui et non. ça va tu as des questions?",19.0,49.0,73
15,CA-LJ-MJ,4_Parent_CA-LJ-MJ,Parent,"C'est ça. Je te fais deviner un mot et heu, et une fois que tu l'a deviné c'est à toi de m'en faire deviner un.",49.0,58.0,25
19,CA-LJ-MJ,5_Parent_CA-LJ-MJ,Parent,"Alors, je vais commencer par un mot, ça y est, je l'ai en tête. Il faut que tu me poses des questions.",58.0,72.0,22
23,CA-LJ-MJ,6_Parent_CA-LJ-MJ,Parent,Non non non.,72.0,81.0,3
27,CA-LJ-MJ,7_Parent_CA-LJ-MJ,Parent,"C'est ""une"". C'est féminin.",81.0,102.0,4
31,CA-LJ-MJ,8_Parent_CA-LJ-MJ,Parent,"Uhm, généralement, ça a deux couleurs.",102.0,120.0,6
35,CA-LJ-MJ,9_Parent_CA-LJ-MJ,Parent,C'est un objet.,120.0,129.0,3
39,CA-LJ-MJ,10_Parent_CA-LJ-MJ,Parent,Hmm... Tu veux que je te montre? C'est à peu près grand comme ça. Grand comme ça. Plutôt petit donc. Mais pas minuscule.,129.0,154.0,23
43,CA-LJ-MJ,11_Parent_CA-LJ-MJ,Parent,Souvent oui. Mais en fait les couleurs sont très variées hein. C'est heu...,154.0,170.0,13
47,CA-LJ-MJ,12_Parent_CA-LJ-MJ,Parent,Non. ça se lit pas.,170.0,178.0,5
51,CA-LJ-MJ,13_Parent_CA-LJ-MJ,Parent,"Non... Tu veux que je te donnes un indice, pour t'aider un peu ou...?",178.0,191.0,14
